Email,Time(s),Result
a1c_diabetes_10_second_trick_spam.eml,1.273121403,CAUGHT
aaa_brand_impersonation_microsoft_spam.eml,1.033915128,CAUGHT
aaa_car_kit_scam.eml,1.139123561,CAUGHT
aaa_emergency_kit_brand_impersonation.eml,1.125488017,CAUGHT
aaa_go_au_net_scam.eml,1.562050812,CAUGHT
aaa_onmicrosoft_spam.eml,.950147241,CAUGHT
aaa_safety_kit_spam.eml,1.581894262,CAUGHT
aarp_cyber_week_unicode_agriculture_spam.eml,.899295018,CAUGHT
adult_enhancement_spam.eml,1.142950016,CAUGHT
advance_fee_fraud_fund_management.eml,1.221648185,CAUGHT
advance_fee_fraud_private_proposal_spam.eml,1.711388935,CAUGHT
air_filter_factory_product_spam.eml,.980565382,CAUGHT
billionaire_bridge_brain_spam.eml,1.017785611,CAUGHT
black_friday_aarp_agriculture_domain_spam.eml,.883132545,CAUGHT
Blood This Herb Destroys HIGH Pressure Overnight.eml,1.168741037,CAUGHT
brazilian_fake_invoice_scam.eml,1.321172153,CAUGHT
breathing_lung_health_spam.eml,1.098051295,CAUGHT
bulk_email_advertising_spam.eml,2.068034490,CAUGHT
business_collaboration_proposal_spam.eml,.985291717,CAUGHT
business_development_spam.eml,1.325777794,CAUGHT
business_opportunity_pharmaceutical_scam.eml,.892983685,CAUGHT
cardiovascular_health_spam.eml,1.107221103,CAUGHT
car_emergency_kit_gmail_forwarded_onmicrosoft.eml,1.012338058,CAUGHT
Cheap Auto Insurance Quotes.eml,.757302571,CAUGHT
chinese_tax_spam_cn_domain.eml,2.377003572,CAUGHT
christmas_lights_medical_domain_retail_spam.eml,.919737411,CAUGHT
cloud_backup_unicode_scam_spam.eml,1.214717318,CAUGHT
coffee_weight_loss_spam.eml,1.267378418,CAUGHT
cognitive_coffee_spam.eml,1.074159032,CAUGHT
communication_business_spam.eml,1.188513360,CAUGHT
costco_thanksgiving_giveaway_scam.eml,1.087037613,CAUGHT
credit_card_resolution_unicode_medical_spam.eml,.850726041,CAUGHT
customs_package_scam.eml,.727942696,CAUGHT
cvs_medicare_gmail_forwarded_onmicrosoft.eml,.950833184,CAUGHT
cvs_medicare_phishing.eml,.950553731,CAUGHT
